var name,label,var type,dataset
V0015,"V0015 - DEMO2: Spanish/Hispanic origin: Original (see V1951 for upcoded version)DEMO2. Are you of Spanish, [Latino/Latina], or Hispanic origin?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0016,"V0016 - DEMO3a: Race category (White?): Original (see V1952 for upcoded version)DEMO3a. Which of these categories best describes your race? You may answer yes to one or more of these categories. White?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0017,"V0017 - DEMO3b: Race category (Black/African-American?): Original (see V1953 for upcoded version)DEMO3b. Which of these categories best describes your race? You may answer yes to one or more of these categories. Black or African-American?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0018,"V0018 - DEMO3c: Race category (American Indian/Alaska Native?): Original (see V1954 for upcoded version)DEMO3c. Which of these categories best describes your race? You may answer yes to one or more of these categories. American Indian or Alaska Native?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0019,"V0019 - DEMO3d: Race category (Asian?): Original (see V1955 for upcoded version)DEMO3d. Which of these categories best describes your race? You may answer yes to one or more of these categories. Asian?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0020,"V0020 - DEMO3e: Race category (Native Hawaiian/Pacific Islander?): Original (see V1956 for upcoded version)DEMO3e. Which of these categories best describes your race? You may answer yes to one or more of these categories. Native Hawaiian or other Pacific Islander?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0021,"V0021 - DEMO3f: Race category (Anything else?): Original (see V1957 for upcoded version)DEMO3f. Which of these categories best describes your race? You may answer yes to one or more of these categories. Anything else?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0022,"V0022 - DEMO4: Marital StatusDEMO4. Are you now?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0023,"V0023 - DEMO5: Served in US Armed Forces?DEMO5. Have you ever served in the United States Armed Forces?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0024,"V0024 - DEMO5a_1: Specify branch(es) served - ArmyDEMO5a. Which branches have you served in? MARK ALL THAT APPLYTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0025,"V0025 - DEMO5a_2: Specify branch(es) served - NavyDEMO5a. Which branches have you served in? MARK ALL THAT APPLYTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0026,"V0026 - DEMO5a_3: Specify branch(es) served - Marine CorpsDEMO5a. Which branches have you served in? MARK ALL THAT APPLYTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0027,"V0027 - DEMO5a_4: Specify branch(es) served - Air ForceDEMO5a. Which branches have you served in? MARK ALL THAT APPLYTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0028,"V0028 - DEMO5a_5: Specify branch(es) served - Coast GuardDEMO5a. Which branches have you served in? MARK ALL THAT APPLYTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0029,"V0029 - DEMO5a_6: Specify branch(es) served - DK/RFDEMO5a. Which branches have you served in? MARK ALL THAT APPLYTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0030,"V0030 - DEMO5a_7: Specify branch(es) served - Item FlagDEMO5a. Which branches have you served in? MARK ALL THAT APPLYTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0031,"V0031 - DEMOA2: Year of entryDEMOA2. In what year did you first enter the U.S. Armed Forces?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0032,"V0032 - DEMOA3: Year last dischargedDEMOA3. In what year were you last discharged from the U.S. Armed Forces?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0033,"V0033 - DEMOA4a: Total time served in Armed Forces (Years served)DEMOA4a. Altogether, how much time [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: have you served] [IF (DEMO5a = 1 OR 2 OR
 3 OR 4 OR 5) AND DEMOA1 = 2: did you serve] in the U.S. Armed Forces?  YEARS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0034,"V0034 - DEMOA4b: Total time served in Armed Forces (Months served)DEMOA4b. Altogether, how much time [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: have you served] [IF (DEMO5a = 1 OR 2 OR
3 OR 4 OR 5) AND DEMOA1 = 2: did you serve] in the U.S. Armed Forces?   MONTHS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0035,"V0035 - DEMOA4c: Total time served in Armed Forces (Weeks served)DEMOA4c. Altogether, how much time [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: have you served] [IF (DEMO5a = 1 OR 2 OR 
3 OR 4 OR 5) AND DEMOA1 = 2: did you serve] in the U.S. Armed Forces?   WEEKS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0036,"V0036 - DEMOA4d: Total time served in Armed Forces (Days served)DEMOA4d. Altogether, how much time [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: have you served] [IF (DEMO5a = 1 OR 2 OR 
3 OR 4 OR 5) AND DEMOA1 = 2: did you serve] in the U.S. Armed Forces?   DAYS:Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0037,"V0037 - DEMOA5: Serve in combat/war zoneDEMOA5. While serving in the U.S. Armed Forces [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: did you ever serve] [IF (DEMO5a = 1 OR 2 OR 
3 OR 4 OR 5) AND DEMOA1 = 2: have you ever served] in a combat or war zone?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0038,"V0038 - DEMOA6: See combat in a line/combat unitDEMOA6. While serving in the U.S. Armed Forces, [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: have you seen] [IF (DEMO5a = 1 OR 2 OR 
3 OR 4 OR 5) AND DEMOA1 = 2: did you see] combat in a line or combat unit?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0039,"V0039 - DEMOA7a: See combat in a line/combat unit in...WWIIDEMOA7a. Did you see combat in a line or combat unit in World War II?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0040,"V0040 - DEMOA7b: See combat in a line/combat unit in...Korean ConflictDEMOA7b. Did you see combat in a line or combat unit in the Korean Conflict?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0041,"V0041 - DEMOA7c: See combat in a line/combat unit in...Vietnam WarDEMOA7c. Did you see combat in a line or combat unit in the Vietnam War?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0042,"V0042 - DEMOA7d: See combat in a line/combat unit in...Persian Gulf WarDEMOA7d. Did you see combat in a line or combat unit in the Persian Gulf War?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0043,"V0043 - DEMOA7e: See combat in a line/combat unit in...AfghanistanDEMOA7e. Did you see combat in a line or combat unit in Afghanistan?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0044,"V0044 - DEMOA7f: See combat in a line/combat unit in...IraqDEMOA7f. Did you see combat in a line or combat unit in Iraq?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0045,"V0045 - DEMOA7g: See combat in a line/combat unit in...Some other military operationDEMOA7g. Did you see combat in a line or combat unit in some other military operation, which may include peacekeeping operations?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0046,"V0046 - DEMOA8: Exposed to the dead/dying/wounded while serving?DEMOA8. While serving in the U.S. Armed Forces [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: have you ever been] [IF 
(DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 2: were you ever] exposed to dead, dying, or wounded people?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0047,"V0047 - DEMOA9: Ever been a POW?DEMOA9. (While serving in the U.S. Armed Forces) [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: have you ever been] [IF 
(DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 2: were you ever] a prisoner of war?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0048,"V0048 - DEMOA10: Exposed to environmental hazards while serving?DEMOA10. (While serving in the U.S. Armed Forces) [IF (DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 1: have you ever been] [IF 
(DEMO5a = 1 OR 2 OR 3 OR 4 OR 5) AND DEMOA1 = 2: were you ever] a exposed to environmental hazards such as Agent Orange, chemical
 warfare agents, ionizing radiation, or other potentially toxic substances?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0049,"V0049 - DEMOA11: Injury due to training/combatDEMOA11. (While serving in the U.S. Armed Forces,) did you suffer any injury as a result of training or combat?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0050,"V0050 - DEMOA12: Type of discharge (medical, psychological, or other)DEMOA12. What type of discharge did you receive from the U.S. Armed Forces?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0051,"V0051 - DEMOA13: Type of discharge if DEMOA12 was ""other""DEMOA13. What type of discharge did you receive?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0052,"V0052 - DEMOA14: Type of medical dischargeDEMOA14. Was your medical discharge honorable, dishonorable, or something else?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0053,"V0053 - DEMOA15: Type of psychological dischargeDEMOA15. Was your psychological discharge honorable, dishonorable, or something else?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0054,"V0054 - DEMO_END: Section 1 Demographics End Flag (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0055,"V0055 - DATE_ARREST: Arrest Date (CAPI variable) (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0055Y,"V0055Y - DATE_ARREST: Arrest Date (CAPI variable) - YearTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0056,"V0056 - DATE_ADMIT: Admission Date (CAPI variable) (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0056Y,"V0056Y - DATE_ADMIT: Admission Date (CAPI variable) - YearTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0057,"V0057 - Offense_1: Offense # 1 (CAPI variable) (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0058,"V0058 - Offense_2: Offense # 2 (CAPI variable) (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0059,"V0059 - Offense_3: Offense # 3 (CAPI variable) (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0060,"V0060 - Offense_4: Offense # 4 (CAPI variable) (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0061,"V0061 - Offense_5: Offense # 5 (CAPI variable) (suppressed)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0062,"V0062 - CONTROLLING_TYPE: Controlling Offense Type - Incident Section Routing (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0063,"V0063 - INMATE_TYPE: INMATE TYPE - Incident Section Routing (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0064,"V0064 - CTRL_TYPE_1: Crime Type Offense # 1 - Incident Section Routing (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0065,"V0065 - CTRL_TYPE_2: Crime Type Offense # 2 - Incident Section Routing (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0066,"V0066 - CTRL_TYPE_3: Crime Type Offense # 3 - Incident Section Routing (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0067,"V0067 - CTRL_TYPE_4: Crime Type Offense # 4 - Incident Section Routing (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0068,"V0068 - CTRL_TYPE_5: Crime Type Offense # 5 - Incident Section Routing (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0069,"V0069 - VIOLENT_TYPE: Type of Violent Offense - Incident Section Routing (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0070,"V0070 - CJ_BGN: Section 2 Criminal Justice Begin Flag (CAPI variable)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0071,"V0071 - CJ0: For what authority being held: Upcoded versionCJ0. People can be held in correctional facilities by various authorities. Are you being held for?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0072,"V0072 - CJ0: For what authority being held: OriginalCJ0. People can be held in correctional facilities by various authorities. Are you being held for?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0073,"V0073 - CJ1: Sentenced to serve time for offense?CJ1. Now I am going to ask you some questions about why you are here. Are you currently sentenced to serve time for any offense?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0074,"V0074 - CJ2: Awaiting trial/sentencing/revocation hearing?CJ2. Are you awaiting trial, sentencing, or a revocation hearing?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0075,"V0075 - CJ2a: What they are specifically awaitingCJ2a. Are you?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0076,"V0076 - CJ2b: Awaiting revocation of parole or probation?CJ2b. Are you awaiting revocation of?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0077,"V0077 - CJ3: Been told of time in prison for offense?CJ3. Have you been told by a judge or jury that you are to spend time in prison for an offense?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0078,"V0078 - CJ4: On parole/probation/escape when arrested/charged? (now serving time)CJ4. When you were arrested or charged with the offenses for which you are now serving time, were you on?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0079,"V0079 - CJ5: Reason for being held in facility: Upcoded versionCJ5. Are you being held in this facility for?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0080,"V0080 - CJ5: Reason for being held in facility: OriginalCJ5. Are you being held in this facility for?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0081,"V0081 - CJ7: On parole/probation/escape when arrested/charged? (now in prison)CJ7. When you were arrested or charged with the offenses for which you are now in prison, were you on?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0082,"V0082 - CJ8TYPE: Offense(s) being held for - type(s)CJ8TYPE. For what offenses are you now in prison?Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0083,"V0083 - CJ8_1: Name of offense(s) being held for - provided by inmate # 1 - Held, not awaiting trial (suppressed)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0084,"V0084 - CJ8_2: Name of offense(s) being held for - provided by inmate # 2 - Held, not awaiting trial (suppressed)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0085,"V0085 - CJ8_3: Name of offense(s) being held for - provided by inmate # 3 - Held, not awaiting trial (suppressed)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0086,"V0086 - CJ8_4: Name of offense(s) being held for - provided by inmate # 4 - Held, not awaiting trial (suppressed)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0087,"V0087 - CJ8_5: Name of offense(s) being held for - provided by inmate # 5 - Held, not awaiting trial (suppressed)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0088,"V0088 - CJ8_NCRP3_1: 3-digit NCRP Code (Offense(s) being held for) # 1 - Held, not awaiting trial (CAPI variable)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0089,"V0089 - CJ8_NCRP3_2: 3-digit NCRP Code (Offense(s) being held for) # 2 - Held, not awaiting trial (CAPI variable)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0090,"V0090 - CJ8_NCRP3_3: 3-digit NCRP Code (Offense(s) being held for) # 3 - Held, not awaiting trial (CAPI variable)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0091,"V0091 - CJ8_NCRP3_4: 3-digit NCRP Code (Offense(s) being held for) # 4 - Held, not awaiting trial (CAPI variable)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0092,"V0092 - CJ8_NCRP3_5: 3-digit NCRP Code (Offense(s) being held for) # 5 - Held, not awaiting trial (CAPI variable)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0093,"V0093 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0094,"V0094 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0095,"V0095 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0096,"V0096 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0097,"V0097 - VARIABLE NOT USEDTaken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0098,"V0098 - CJ8_OFF_1: Collapsed offense type (Offense(s) being held for) # 1 - Held, not awaiting trial (CAPI variable)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0099,"V0099 - CJ8_OFF_2: Collapsed offense type (Offense(s) being held for) # 2 - Held, not awaiting trial (CAPI variable)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
V0100,"V0100 - CJ8_OFF_3: Collapsed offense type (Offense(s) being held for) # 3 - Held, not awaiting trial (CAPI variable)CJ8. For what offenses are you [HELD_FILL]?  (USE THE LOOKUP TABLE TO ENTER OFFENSES. USE ""OTHER"" IF OFFENSE IS NOT FOUND IN THE 
TABLE. ENTER ""999"" AFTER THE LAST OFFENSE IS RECORDED.)Taken from: Survey of Prison Inmates, United States, 2016.",numeric,DS1 - Public-Use U.S. Data (state and federal combined)
